space_id,type_id,category_id
542,1,63
541,1,63
548,3,11
543,1,63
543,3,63
546,3,10
541,3,9
541,3,28
541,1,63
541,1,65
545,1,56
547,1,65
547,3,28
556,3,11
543,3,63
543,1,9
541,4,28
547,3,56
546,3,58
546,3,9
541,3,9
541,3,9
543,3,28
573,1,61
569,1,56
550,1,59
541,4,28
541,1,28
541,3,65
546,4,28
541,3,28
550,4,10
574,4,58
546,1,58
546,3,56
541,1,59
542,3,56
542,3,10
541,3,9
546,3,10
543,1,63
546,1,8
541,3,9
541,3,28
542,3,65
541,1,63
541,4,28
543,3,56
546,3,11
543,3,28
543,3,28
543,3,28
543,3,63
543,3,63
543,1,65
543,1,63
543,1,9
546,3,8
543,1,63
542,1,56
543,3,63
546,3,8
550,1,9
569,1,63
545,1,56
543,1,62
543,1,62
569,1,56
543,3,28
543,3,63
543,3,58
543,1,56
543,3,28
543,1,28
555,1,56
148,3,11
566,1,58
566,3,63
556,3,11
577,3,61
572,3,61
577,1,56
556,3,11
556,1,56
550,1,59
545,1,56
542,1,65
546,3,58
541,1,63
543,1,28
542,1,63
546,3,8
550,3,63
550,1,59
541,1,63
546,3,58
546,3,58
543,1,63
543,3,58
543,1,11
543,1,58
543,3,63
543,3,28
543,3,58
543,3,28
541,3,65
546,3,65
548,1,28
546,3,11
573,1,61
566,3,28
571,3,28
577,1,56
550,1,9
541,1,63
541,3,65
541,3,28
541,3,28
541,3,11
543,1,63
543,3,63
550,1,59
543,3,10
547,3,56
542,4,28
546,3,56
546,1,28
546,3,10
545,1,56
543,1,10
549,3,28
543,3,10
543,3,10
541,3,58
543,1,10
550,1,59
543,1,63
556,1,56
550,4,10
542,4,28
543,3,28
543,3,10
546,1,8
546,1,65
543,1,10
543,1,63
541,1,63
541,1,28
542,3,28
543,1,59
543,1,59
541,3,65
541,3,28
543,3,63
543,1,9
543,1,11
550,4,9
547,1,28
545,1,56
547,3,28
547,1,56
541,1,9
541,3,28
541,3,28
542,3,56
546,3,56
546,3,58
543,3,63
543,3,63
543,3,28
556,1,56
574,3,63
545,3,11
553,1,10
569,3,58
566,3,28
574,3,58
574,1,58
574,1,58
562,1,62
541,1,9
547,3,56
542,3,56
553,1,63
553,3,63
573,3,61
68,1,59
541,1,9
541,1,65
546,3,11
541,3,65
542,3,56
541,1,11
542,1,62
543,1,63
543,3,65
68,1,59
553,1,56
553,3,63
577,3,63
553,3,63
569,1,56
550,4,10
546,1,63
541,1,63
550,1,59
547,1,28
543,3,63
541,3,28
541,1,9
546,3,8
546,1,28
547,1,63
549,3,65
541,3,65
549,1,28
541,1,28
550,1,59
546,1,65
547,3,28
547,3,58
546,3,58
547,3,28
546,3,28
545,1,56
543,1,62
547,1,65
550,1,11
543,1,63
543,3,63
543,3,58
543,3,63
546,3,11
541,1,9
541,1,63
541,1,9
556,1,56
542,1,65
543,1,65
543,3,63
546,3,9
548,3,58
545,3,58
550,4,9
541,1,65
542,3,58
543,3,10
541,3,28
541,1,63
541,1,28
543,3,10
541,3,10
543,3,28
550,1,59
547,1,56
547,1,28
543,3,28
542,1,56
545,1,56
548,3,58
547,3,58
541,3,28
541,1,9
541,3,65
541,3,28
547,4,28
541,3,11
546,3,11
547,1,58
546,1,58
546,1,63
542,1,63
547,1,63
546,4,28
543,1,62
543,1,62
541,4,9
541,3,9
541,3,9
541,4,28
546,3,11
542,3,56
543,3,10
549,3,28
541,1,9
549,1,10
541,1,10
546,1,63
541,1,63
543,4,59
541,4,28
543,1,11
550,1,59
550,3,11
545,1,56
542,1,10
542,3,10
543,1,10
548,1,10
546,1,10
541,1,10
547,1,56
545,3,56
543,3,56
546,3,56
546,1,9
541,3,28
541,3,58
543,3,63
543,3,63
543,1,11
543,3,63
542,1,56
543,3,10
543,3,28
543,3,63
543,3,63
543,1,63
541,1,56
541,1,63
541,3,28
543,3,63
543,3,63
543,3,56
541,1,63
542,1,63
543,3,63
541,1,9
542,3,58
546,3,9
541,3,9
542,1,56
542,3,65
543,1,59
542,3,56
542,3,58
543,3,63
542,1,10
542,3,10
548,3,28
545,1,56
541,1,9
548,1,65
546,1,9
543,3,63
546,3,11
542,3,56
543,1,62
543,1,62
546,1,63
545,1,56
541,1,58
541,3,9
549,1,63
543,1,10
541,1,63
541,1,65
542,1,65
543,1,59
547,1,58
548,1,58
549,3,28
542,1,58
543,3,28
545,1,56
545,1,56
545,1,56
542,3,10
543,3,63
543,3,58
547,1,63
546,1,58
542,1,62
546,3,11
550,1,59
543,1,62
543,1,62
541,1,9
542,3,28
541,3,28
553,3,63
549,1,10
546,1,10
541,1,10
543,1,10
546,3,8
543,3,63
542,3,65
543,3,28
547,3,65
543,3,28
543,1,63
573,1,61
574,3,63
574,3,63
543,1,59
547,3,65
541,3,28
543,3,63
543,3,63
543,3,10
541,3,58
550,4,9
546,3,8
543,3,63
543,3,63
543,3,63
542,3,28
550,1,59
550,1,9
550,1,11
543,1,63
543,1,63
541,3,9
541,1,63
541,3,56
543,1,59
561,3,57
542,3,56
541,3,58
542,1,56
548,3,11
546,3,56
543,1,62
545,3,11
546,3,28
546,3,11
543,3,63
543,1,62
543,1,11
546,3,8
543,4,28
541,3,11
546,3,11
543,3,65
542,1,63
543,1,28
547,1,28
547,1,65
543,1,63
550,4,9
550,1,59
541,1,28
543,3,28
543,3,28
543,3,28
547,3,58
549,3,11
542,3,56
547,3,56
547,1,56
545,1,56
543,3,56
541,3,9
541,1,9
541,1,9
541,1,65
546,3,8
546,1,9
546,3,8
546,3,58
543,3,28
543,1,56
542,4,9
546,3,11
546,1,9
547,3,56
556,3,11
546,3,28
543,3,63
546,3,28
547,3,58
550,1,59
546,1,65
546,3,11
545,1,56
546,1,56
556,3,10
543,1,62
543,3,28
543,3,63
543,3,63
541,1,63
543,1,62
543,1,65
541,3,9
68,1,59
543,1,63
543,3,63
543,1,63
543,3,63
543,3,63
546,1,10
543,3,28
545,1,63
543,1,59
543,1,9
543,1,63
541,1,63
541,3,28
541,1,65
550,1,59
550,3,11
566,1,10
541,4,9
541,3,9
546,3,9
545,1,65
546,3,8
546,3,8
542,1,65
541,1,10
541,1,65
543,1,63
543,1,62
543,1,62
549,1,62
550,1,59
556,1,56
543,1,11
546,3,8
547,3,28
547,3,28
543,1,62
542,1,63
541,1,9
550,1,59
543,1,63
556,1,56
543,1,59
541,1,9
543,3,11
543,1,9
541,1,9
541,1,9
571,1,9
553,1,63
571,1,63
550,4,10
550,4,9
545,1,56
545,3,11
541,3,58
541,3,11
546,3,11
546,3,9
542,3,28
543,3,63
548,3,58
542,3,56
543,3,63
547,1,56
547,3,28
541,3,28
547,3,58
543,3,28
545,1,56
541,1,65
543,3,28
549,3,10
543,3,63
543,3,63
543,3,28
543,1,58
543,3,28
543,3,28
543,3,28
543,1,59
550,1,59
542,4,28
545,3,11
541,3,9
541,3,28
541,3,28
541,3,56
542,1,28
541,1,9
541,1,63
541,1,56
550,1,59
543,1,59
561,3,57
541,3,65
542,3,65
547,3,10
546,3,65
541,3,10
542,1,65
542,1,28
556,1,65
569,1,28
569,1,63
541,1,9
543,3,28
543,3,58
546,3,8
541,3,9
546,1,9
547,3,56
541,4,28
541,3,65
546,3,8
543,3,63
541,4,28
543,3,28
546,3,8
543,1,63
573,1,61
543,4,10
541,4,9
541,1,65
541,3,28
541,3,28
541,1,28
547,3,65
547,3,28
541,1,63
543,3,63
541,1,28
541,3,65
543,4,59
543,1,62
546,3,8
546,3,8
541,3,9
560,3,63
574,3,63
566,3,63
577,3,63
541,1,9
546,3,56
542,3,56
541,3,9
547,1,28
547,1,10
546,1,11
543,1,62
542,3,56
543,4,59
543,4,59
549,1,65
546,3,28
541,1,63
541,1,65
543,3,28
543,3,63
543,3,63
543,3,28
543,3,58
549,3,10
543,3,63
545,3,11
543,3,63
546,1,65
542,1,10
546,1,28
547,1,28
542,1,28
547,1,65
542,1,65
543,1,59
543,4,10
545,3,11
541,1,9
546,3,8
543,4,10
548,3,28
542,1,65
549,3,65
543,1,63
546,1,59
541,3,65
543,3,58
541,3,28
541,3,28
546,3,8
546,3,8
541,1,9
546,3,28
546,3,28
541,3,28
541,3,28
543,3,63
547,3,28
548,3,56
541,3,28
545,1,28
541,4,28
541,3,65
543,3,28
543,3,63
546,3,8
543,3,63
541,1,9
541,1,63
545,1,56
542,1,58
546,1,9
543,1,63
545,1,63
547,1,63
543,1,11
543,1,63
543,3,63
543,1,59
542,1,63
549,1,58
545,1,56
543,1,62
543,1,62
541,1,10
543,1,9
541,3,65
541,3,9
543,1,63
543,1,59
543,1,11
547,3,28
547,3,56
541,1,56
541,1,9
546,3,28
546,3,58
545,3,58
543,1,10
577,3,63
543,1,63
543,1,63
550,3,63
543,1,63
543,3,63
550,1,59
543,1,10
543,1,9
550,1,9
550,4,9
542,1,65
542,3,28
542,1,28
541,4,28
541,3,9
541,3,28
541,3,28
541,1,65
541,3,65
546,3,11
541,3,11
543,1,10
541,1,63
542,3,56
543,3,63
542,4,28
541,1,28
541,1,63
542,1,63
543,1,63
546,4,9
546,3,11
546,3,58
545,1,10
547,3,58
549,3,28
549,3,28
541,3,28
541,3,28
547,3,28
547,3,28
546,3,8
541,1,63
546,3,65
541,3,65
541,3,28
549,1,9
543,1,63
543,1,59
543,1,11
556,3,63
543,1,9
547,1,65
549,1,65
546,1,65
545,1,56
543,1,63
543,1,63
543,1,63
546,3,9
550,1,59
548,4,28
541,3,11
543,3,28
543,3,28
543,3,58
546,3,11
546,3,11
548,1,56
542,1,56
546,1,9
574,1,10
569,3,11
546,3,9
546,3,28
546,3,28
546,3,8
546,3,8
543,1,9
548,3,9
543,3,63
543,3,63
541,1,63
541,3,10
541,3,9
541,3,28
543,1,65
543,3,58
545,3,11
545,1,56
556,1,56
542,1,63
547,3,10
542,3,58
543,3,28
545,3,28
541,3,28
543,3,63
546,1,63
541,1,63
541,1,28
549,1,63
541,1,63
545,3,28
546,3,10
546,3,10
549,3,28
541,3,28
541,3,58
549,1,58
541,1,9
541,1,65
546,4,28
543,3,63
543,3,63
541,3,28
541,1,63
546,1,10
546,1,65
543,1,63
543,3,58
543,3,28
543,3,28
543,3,58
543,3,58
546,1,9
541,1,9
546,1,9
541,1,9
541,4,28
543,3,56
543,3,28
543,3,28
541,3,28
546,1,65
541,1,63
541,1,28
541,1,65
547,3,65
547,3,28
556,3,11
566,3,63
569,3,63
574,3,63
543,3,56
541,4,9
541,3,56
549,1,65
549,3,28
549,1,28
546,3,8
542,4,9
542,1,9
541,1,63
541,3,58
543,3,63
541,3,28
541,1,28
541,1,65
541,1,63
542,1,63
573,1,61
566,3,63
541,1,63
549,3,58
541,3,9
546,3,9
541,3,9
550,1,59
543,1,63
543,3,63
541,1,63
546,3,58
543,3,63
543,3,63
543,3,63
543,1,9
569,3,63
566,3,63
541,3,9
545,1,56
543,3,56
541,3,58
541,1,9
541,3,9
541,3,10
541,3,56
541,1,63
542,3,10
542,3,28
542,3,56
542,3,56
542,3,28
543,3,63
543,3,63
542,4,28
541,1,65
542,1,65
541,1,9
543,1,11
541,3,28
546,3,28
543,1,63
543,4,10
543,3,63
550,1,9
541,1,9
545,1,56
541,3,65
566,1,10
575,3,63
566,3,63
566,3,28
556,3,56
543,1,62
543,1,62
543,1,62
543,1,62
541,1,65
546,1,65
543,3,63
549,1,65
546,3,9
546,3,11
541,3,9
541,1,9
571,3,63
543,1,63
543,3,63
546,3,56
546,1,9
546,3,11
542,3,56
541,3,28
545,1,56
543,1,62
543,1,63
562,3,62
541,1,28
541,3,65
541,1,65
577,3,63
556,3,11
545,1,56
542,3,10
541,3,28
541,3,65
546,3,9
546,3,58
547,3,58
543,1,63
541,1,9
546,3,65
546,3,56
546,3,8
546,3,8
546,1,9
541,1,11
543,1,63
541,3,28
542,1,63
543,3,63
546,1,63
543,1,10
541,1,10
541,3,65
543,3,10
546,3,56
542,3,56
543,1,63
541,1,9
541,3,28
542,3,56
546,4,28
546,1,58
546,3,65
543,1,63
547,3,56
541,3,9
546,3,8
546,3,8
550,1,11
543,1,63
550,4,10
546,1,63
548,3,9
541,3,65
541,1,63
541,3,9
541,1,63
541,3,28
541,3,65
543,3,63
574,4,58
542,1,65
543,1,59
543,1,63
541,1,9
541,3,9
545,3,11
543,3,10
543,3,10
546,1,9
543,3,28
543,3,63
543,3,63
546,3,8
543,1,62
543,1,62
541,1,9
541,4,28
543,3,28
543,3,28
546,3,58
541,3,65
547,1,56
541,1,56
542,1,28
546,1,58
541,1,63
543,4,59
541,1,9
541,3,65
541,1,63
541,3,65
542,3,28
542,3,65
541,3,65
541,3,28
541,3,28
541,3,28
542,1,63
566,3,63
543,3,28
543,1,63
541,1,65
547,3,28
547,3,28
542,1,28
541,1,28
549,1,65
542,1,65
546,1,63
541,1,65
542,1,65
546,3,28
546,3,28
546,3,28
542,1,28
543,1,59
543,1,10
543,1,10
543,3,10
543,1,63
541,1,9
547,1,28
547,3,28
547,3,28
547,3,28
550,1,59
556,1,56
68,3,10
541,1,28
541,1,63
541,3,10
543,1,11
546,1,65
543,4,59
561,3,57
543,1,59
543,3,28
542,1,56
546,3,11
546,3,8
543,1,63
543,3,63
541,1,9
541,3,9
541,3,28
542,3,28
542,3,10
547,3,10
543,1,10
550,1,59
547,1,65
549,3,58
549,1,58
542,1,65
547,1,58
541,1,63
546,3,9
541,3,9
541,1,9
546,1,63
548,1,28
543,3,10
541,3,11
546,3,28
546,3,58
543,3,63
541,3,28
543,1,62
546,3,8
569,3,63
550,1,59
543,1,63
543,3,65
550,4,9
546,1,9
546,1,9
541,4,28
541,1,65
541,1,63
541,1,65
543,1,10
546,3,10
541,1,63
543,3,11
543,3,63
543,3,10
541,3,28
543,1,56
541,1,9
545,1,56
543,1,62
543,1,62
543,1,9
550,3,11
542,1,63
550,1,59
550,1,59
547,1,63
546,1,28
546,1,63
546,1,65
542,4,28
542,3,28
542,3,28
543,1,9
542,1,65
550,1,59
550,1,59
546,3,8
547,3,28
542,3,28
547,3,28
542,3,28
546,1,9
546,3,8
543,1,63
543,1,59
543,1,63
543,1,63
541,1,65
543,3,65
543,3,65
541,3,10
541,3,28
541,3,10
541,1,9
541,3,28
550,1,59
542,1,63
546,3,8
542,3,28
541,3,58
543,3,63
541,1,65
543,3,58
543,1,62
542,1,10
547,1,56
550,1,59
549,4,28
548,3,58
549,3,58
547,3,58
549,1,63
543,1,63
542,4,28
543,3,63
546,3,9
546,3,8
543,3,63
543,1,62
543,1,62
541,1,63
542,1,65
547,1,56
546,3,8
547,3,56
541,1,9
546,1,9
543,3,58
543,3,28
546,3,28
542,1,62
543,1,62
566,1,62
556,3,11
543,1,63
550,4,10
550,1,59
550,1,11
541,1,63
549,3,28
548,3,65
541,3,65
548,1,63
547,1,65
547,1,28
541,3,65
541,1,28
541,1,65
546,1,65
542,3,65
542,3,56
542,3,56
543,1,56
546,1,10
545,1,56
546,3,11
541,3,9
545,3,11
543,3,28
543,3,10
543,3,63
546,3,9
546,3,9
542,1,56
547,1,56
550,1,59
542,1,65
542,3,56
547,3,56
547,1,65
541,3,10
550,1,59
573,1,61
543,3,10
543,3,10
546,1,9
546,3,9
546,1,9
543,1,59
543,1,63
543,4,10
545,1,56
541,1,10
547,1,56
542,3,28
541,3,28
542,1,63
543,3,58
541,1,63
541,1,9
541,1,56
546,1,56
541,1,9
541,4,9
566,3,63
558,3,63
571,3,63
566,3,63
543,4,10
541,1,56
542,3,56
543,3,58
547,3,56
543,1,63
542,1,65
548,1,65
547,1,65
541,1,10
547,1,9
546,3,56
550,3,63
543,1,28
543,3,56
543,3,10
543,3,10
543,3,28
543,1,10
543,1,62
543,1,62
543,1,58
541,1,9
547,3,56
547,3,28
543,3,63
543,1,63
543,4,10
541,1,9
541,3,58
541,3,9
549,3,28
549,3,10
543,3,63
543,3,63
543,1,56
542,1,9
549,1,28
548,3,28
541,1,63
550,1,59
569,1,56
556,3,63
556,3,63
566,4,28
566,1,28
566,3,63
569,3,63
566,3,63
574,3,63
556,3,63
550,1,59
566,3,63
553,3,63
543,3,28
542,3,10
543,3,58
549,3,28
546,3,28
541,3,28
543,3,28
546,1,28
549,3,10
546,3,56
546,3,28
543,3,28
543,3,28
546,3,58
546,3,28
543,3,63
543,3,63
542,1,63
543,3,63
547,3,10
547,3,58
543,3,28
543,3,65
546,3,58
542,1,56
547,1,58
541,1,65
546,1,65
542,1,65
68,1,59
543,3,63
543,3,63
543,3,63
541,1,65
543,1,62
549,1,65
546,1,65
546,3,58
546,1,9
541,1,63
546,1,63
68,1,63
541,1,63
541,3,9
541,1,9
541,1,9
541,1,9
545,3,11
541,1,9
543,3,63
574,1,58
574,1,58
545,3,11
543,1,62
548,3,56
543,1,59
546,3,28
543,3,63
543,1,63
550,1,9
543,3,63
543,3,63
543,3,10
543,3,63
541,3,65
543,1,10
543,1,63
543,3,63
546,3,9
541,3,9
541,1,9
541,1,63
542,3,65
543,1,63
68,4,9
68,1,59
545,1,56
545,1,56
542,3,28
541,3,9
574,1,10
556,3,10
560,3,10
543,4,10
546,3,8
543,3,63
543,3,63
543,1,63
542,1,28
546,3,58
546,3,28
541,1,56
541,1,28
546,1,28
574,4,58
574,1,58
543,1,63
543,3,63
543,3,63
550,1,59
541,1,9
541,3,11
541,3,58
543,3,10
541,3,28
547,3,10
546,3,10
543,1,62
541,1,58
541,1,63
547,1,56
545,3,11
545,3,28
541,3,9
546,3,10
542,3,10
541,1,9
541,4,9
542,3,58
543,3,63
546,3,58
546,1,10
542,3,65
542,3,28
541,3,65
543,3,63
543,4,10
541,3,11
546,3,11
541,3,9
68,3,10
68,3,28
541,3,65
546,3,65
542,1,65
542,3,28
542,3,28
546,3,8
541,3,9
541,3,58
569,3,63
550,1,59
546,3,8
543,1,10
543,3,10
543,3,10
542,3,10
547,3,10
543,1,10
543,1,56
541,1,9
543,1,10
555,1,9
543,1,63
541,1,9
541,3,9
542,1,63
545,3,11
546,3,8
543,1,10
546,1,8
562,1,62
566,3,63
562,3,62
560,3,63
553,3,63
563,3,63
543,4,59
543,3,63
543,3,56
543,1,62
543,1,62
541,1,63
550,4,9
543,1,63
543,3,63
543,3,63
543,3,63
543,1,59
569,1,56
550,1,59
549,1,58
543,3,63
543,3,28
543,3,28
541,3,56
542,3,56
547,3,56
546,1,9
549,1,63
546,1,28
546,3,56
543,3,63
547,3,28
546,3,11
543,1,10
541,3,28
550,1,59
571,3,63
577,3,63
566,3,28
566,3,58
566,3,63
566,3,63
566,3,63
541,1,63
543,1,63
574,3,28
549,1,10
549,3,28
549,1,10
543,1,59
543,1,63
543,3,63
542,1,56
546,3,58
546,3,11
543,3,28
543,3,58
543,3,10
546,3,9
543,1,63
541,1,28
546,3,58
547,3,56
549,3,56
546,3,9
541,3,9
566,3,10
556,3,63
546,1,9
543,1,10
549,3,28
548,1,63
543,1,9
541,3,9
543,1,62
546,1,9
543,3,10
550,1,11
548,3,28
541,3,28
546,3,28
556,1,56
552,1,56
562,3,63
566,3,63
543,1,59
541,1,63
541,4,9
541,3,28
541,3,28
541,1,9
541,3,28
543,1,62
543,1,62
542,1,56
541,3,56
545,1,56
543,1,63
543,1,63
543,3,63
546,1,9
541,1,63
541,1,63
541,3,65
553,3,63
568,3,63
543,3,58
543,3,63
543,3,63
541,1,9
569,1,56
556,3,63
567,1,10
556,3,63
541,1,9
541,3,65
541,3,10
541,1,63
550,1,59
550,1,11
541,1,63
541,1,9
541,1,9
541,3,28
547,1,10
543,3,63
541,3,28
543,3,63
547,3,10
543,1,63
543,3,63
541,1,9
541,4,28
542,1,56
542,1,63
542,1,65
541,1,65
542,1,63
542,3,28
546,1,65
541,3,65
541,1,9
541,3,9
546,3,9
541,3,9
541,3,9
545,1,56
541,1,9
543,1,9
549,1,58
541,3,28
546,3,58
549,3,58
543,3,63
546,1,58
546,1,58
543,1,63
541,1,9
541,3,9
543,3,63
543,1,56
549,1,28
545,3,11
546,1,63
547,1,63
541,1,65
545,1,56
542,3,56
541,3,56
549,3,28
546,3,28
542,3,28
543,3,63
546,1,63
543,3,28
543,3,28
549,1,63
542,1,63
573,1,61
550,4,10
543,1,63
577,3,63
577,3,63
543,3,63
546,3,11
543,3,56
546,1,9
543,3,63
543,3,63
543,3,63
543,1,63
541,3,9
541,1,9
543,3,63
542,3,65
542,1,28
541,1,9
550,3,11
548,1,28
68,1,59
541,1,63
543,1,11
541,3,65
543,1,63
546,3,8
550,1,59
541,1,9
541,1,9
543,1,62
543,1,62
543,1,62
543,1,63
546,3,8
546,3,8
545,1,56
541,1,9
547,3,56
548,1,56
550,1,59
546,3,11
546,1,8
543,1,56
543,3,28
541,4,28
541,3,9
546,3,8
546,3,8
543,3,10
543,4,10
68,1,59
550,3,63
543,1,63
543,1,62
543,1,62
543,1,63
543,1,63
543,1,63
543,3,63
542,3,56
541,3,9
542,3,28
546,3,28
542,1,65
541,1,65
556,3,11
556,3,11
545,1,56
546,3,9
541,1,9
545,1,56
546,3,8
543,3,28
547,3,28
542,3,28
543,3,58
542,1,56
541,3,9
543,3,63
543,3,63
541,3,9
541,1,9
541,3,9
545,1,56
545,1,56
545,1,56
546,3,28
546,3,8
541,1,9
546,4,28
546,3,28
547,3,28
545,1,65
546,1,65
547,1,65
547,4,28
542,1,56
543,3,28
543,3,28
542,3,56
542,3,28
542,3,28
547,4,28
547,3,28
547,1,28
547,1,65
541,1,63
542,3,56
542,3,56
547,3,58
546,3,58
541,3,28
543,3,28
543,1,62
546,1,9
542,3,56
550,1,59
541,1,28
541,3,28
541,4,28
541,1,63
541,1,10
541,1,65
546,1,58
542,3,58
549,3,28
543,3,63
546,3,28
546,3,11
546,3,28
542,1,9
546,1,58
543,3,28
543,3,28
546,3,9
546,3,11
543,3,63
543,3,63
546,3,65
546,1,9
546,1,63
543,1,63
541,1,65
541,3,56
541,3,28
543,1,65
542,1,28
546,1,63
545,1,56
541,1,9
546,1,65
546,1,9
546,1,9
543,1,63
543,3,63
543,3,63
543,1,63
543,1,9
541,1,65
543,1,63
546,1,28
543,1,63
543,1,63
543,3,28
543,4,59
546,3,8
542,1,63
550,1,59
543,4,28
543,3,58
543,3,11
543,1,62
543,1,62
543,1,9
543,4,10
543,1,63
543,1,62
543,1,62
543,1,63
543,1,63
543,1,28
543,3,63
543,3,28
543,1,63
547,4,9
542,3,65
547,3,65
542,1,63
547,1,28
547,1,58
542,4,9
542,4,28
547,4,28
547,4,28
543,1,63
548,3,9
546,3,11
548,1,56
541,4,28
541,1,65
543,1,11
542,1,65
541,1,28
548,3,58
541,3,65
541,3,28
541,1,63
556,1,56
569,1,56
556,1,56
556,3,11
569,3,10
574,1,58
543,3,56
550,1,59
541,3,28
541,3,9
541,1,63
541,3,9
546,3,28
546,3,58
543,3,28
542,1,58
542,3,58
546,1,9
543,1,62
545,3,11
543,3,63
542,3,28
541,1,9
543,1,63
541,3,65
541,1,28
541,3,28
543,3,63
541,1,9
543,3,63
543,3,63
541,1,9
542,3,56
542,1,63
541,1,9
543,1,28
543,3,65
543,3,28
550,3,63
543,4,59
543,4,59
543,4,59
543,4,10
541,1,63
541,1,9
541,3,28
541,3,58
543,3,63
542,1,58
543,3,58
546,3,10
547,1,28
547,3,28
547,3,28
549,3,28
543,3,28
550,3,63
543,1,59
546,1,8
542,3,58
542,1,10
546,3,8
542,4,28
546,3,8
543,3,28
543,3,28
546,3,28
541,3,58
541,3,9
546,1,9
543,1,59
543,1,56
541,1,63
571,3,63
541,1,9
543,3,63
546,3,56
545,3,11
541,1,9
541,3,28
541,3,28
541,3,9
541,3,9
541,3,9
542,3,65
542,3,28
542,3,28
541,1,63
545,1,56
546,3,8
543,3,58
542,3,65
541,3,11
546,3,11
542,1,28
541,1,9
543,3,28
546,3,65
556,1,56
541,1,65
546,1,65
543,1,63
543,1,63
543,1,63
541,1,65
549,3,28
541,3,28
541,3,65
549,3,65
541,1,28
543,1,11
543,3,63
543,3,63
543,3,63
545,3,11
547,3,56
547,1,9
543,3,63
546,3,58
550,3,63
550,4,9
68,1,11
68,1,11
547,3,65
542,3,65
541,3,9
546,3,9
541,3,9
543,1,62
543,1,62
543,3,10
543,3,63
543,3,63
546,3,8
574,1,58
543,1,9
543,3,56
543,3,58
543,3,63
543,3,63
541,4,28
541,3,9
543,3,63
541,3,65
545,1,56
541,1,9
561,3,57
556,3,63
568,3,63
553,3,63
556,1,61
569,3,63
553,3,63
566,3,63
556,1,61
543,1,59
542,1,65
546,1,65
543,1,63
546,3,65
541,3,9
542,3,58
546,3,8
546,3,11
543,3,63
547,1,58
545,1,56
545,1,56
542,4,28
547,3,65
541,3,65
541,3,28
543,3,56
542,3,65
543,3,58
542,1,63
543,1,28
543,1,58
558,1,63
558,3,63
543,3,28
543,3,28
543,1,9
541,1,63
549,3,58
546,1,63
543,4,59
550,1,59
543,1,59
542,1,65
543,1,9
542,1,65
545,3,10
547,3,56
561,3,57
548,4,28
543,3,28
543,3,58
543,3,28
546,4,28
541,3,65
549,3,28
547,3,28
546,3,11
547,3,65
541,3,28
543,4,59
550,1,59
548,1,9
546,3,28
542,3,28
543,3,28
543,3,63
543,3,63
541,3,9
543,3,10
550,1,59
550,4,9
550,1,59
545,3,11
543,3,63
543,3,63
541,3,65
542,4,28
546,3,11
542,3,10
546,3,56
543,1,9
577,3,63
547,1,65
547,3,58
547,3,28
542,3,65
547,1,63
547,1,28
550,1,59
546,3,58
546,3,58
546,3,58
543,1,63
550,1,59
541,1,9
546,1,9
543,3,63
542,1,58
545,3,56
543,1,62
543,1,62
541,4,28
541,1,65
541,1,9
543,3,63
543,3,28
543,3,28
541,1,28
545,1,56
543,3,58
543,3,28
546,3,8
546,3,8
541,1,9
546,1,65
546,1,63
541,1,9
543,1,63
543,3,63
543,3,63
543,3,63
543,3,63
546,1,65
542,1,10
543,3,63
548,1,65
577,3,63
543,1,62
541,3,9
546,3,9
543,3,58
541,1,9
543,1,62
550,1,59
543,1,11
546,3,8
542,1,28
549,3,28
548,3,28
546,3,8
549,1,63
543,3,28
543,3,63
543,3,28
550,1,59
543,1,63
553,1,10
553,3,63
573,1,61
573,1,61
569,3,58
148,4,10
566,3,58
566,3,28
549,3,28
566,3,28
556,3,11
556,3,56
571,3,65
541,1,63
566,3,58
566,3,58
571,1,10
567,3,9
546,1,65
547,1,62
542,1,62
543,1,63
571,3,63
543,3,63
574,1,58
545,3,11
543,3,10
543,3,58
542,1,56
541,3,58
541,3,28
546,3,8
543,3,63
543,3,63
566,3,63
541,1,63
543,3,10
560,3,10
543,1,59
541,4,9
541,3,9
541,3,28
541,1,9
542,1,28
542,3,28
547,3,28
542,3,65
547,1,63
571,3,28
541,1,63
543,3,63
543,3,63
543,3,63
547,1,58
542,1,58
541,1,58
542,1,28
546,1,28
550,1,59
541,1,9
543,3,58
546,1,9
546,3,65
549,3,65
541,1,10
549,3,65
546,3,65
543,3,10
542,1,9
542,1,62
545,3,58
545,3,58
543,3,56
545,4,28
543,3,63
543,3,58
543,3,63
543,3,63
541,1,63
546,4,28
556,1,56
574,1,58
543,1,11
546,3,58
548,1,56
545,1,56
546,1,58
543,1,62
543,1,62
541,1,56
542,1,56
543,1,63
543,1,9
545,3,11
545,3,11
543,1,59
541,1,63
541,3,28
543,3,63
542,3,58
546,3,58
547,3,58
541,1,28
550,3,63
571,3,63
569,3,63
561,3,57
566,3,63
577,3,63
543,1,9
546,1,11
543,3,11
541,3,28
541,1,63
546,3,65
546,3,28
546,1,63
549,1,63
541,1,65
541,1,28
543,3,63
543,3,63
543,1,9
548,3,9
543,1,59
549,1,28
549,1,65
543,1,63
541,3,10
543,1,63
546,3,11
541,3,11
543,3,10
541,3,28
543,3,28
543,3,28
542,1,9
549,3,28
546,3,10
549,3,28
548,3,28
543,3,63
543,3,63
542,1,28
541,1,9
541,1,63
